|Birdsong: A Story in Pictures|
|The Bear and the Piano|
|The Secret of Dreadwillow Carse|
|The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”|
|Little Red|
|Walt Disney's Alice in Wonderland|
|Twenty Yawns|
|Rain Fish|
|Once Was a Time|
|Luis Paints the World|
Nap-a-Roo
|The Whale|
|Shrunken Treasures: Literary Classics, Short, Sweet, and Silly|
|Raymie Nightingale|
|Playing from the Heart|
|Maybe Something Beautiful: How Art Transformed a Neighborhood|
|The Wild Robot|
|The Thing About Jellyfish|
|The Lonely Ones|
|The Day the Crayons Came Home (Crayons)|
