|The Secret Garden|
|The Metamorphosis|
|The Pilgrim's Progress|
|The Hound of the Baskervilles (Sherlock Holmes #5)|
|Little Women (Little Women #1)|
|Gone with the Wind|
Candide
|Animal Farm|
|Wuthering Heights|
|The Picture of Dorian Gray|
|The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition])|
Beowulf
|And Then There Were None|
|The Story of Hong Gildong|
|The Little Prince|
|Sense and Sensibility|
|Of Mice and Men|
Emma
|Alice in Wonderland (Alice's Adventures in Wonderland #1)|
