|Rip it Up and Start Again|
|Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991|
|How Music Works|
|Love Is a Mix Tape (Music #1)|
|Please Kill Me: The Uncensored Oral History of Punk|
|Kill 'Em and Leave: Searching for James Brown and the American Soul|
|Chronicles, Vol. 1|
|This Is Your Brain on Music: The Science of a Human Obsession|
|Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors|
|No One Here Gets Out Alive|
Life
|Old Records Never Die: One Man's Quest for His Vinyl and His Past|
|Forever Rockers (The Rocker #12)|
