|Sophie's World|
|The Death of Humanity: and the Case for Life|
|The Stranger|
|Proofs of God: Classical Arguments from Tertullian to Barth|
|Kierkegaard: A Christian Missionary to Christians|
|At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others|
|Critique of Pure Reason|
|Run, Spot, Run: The Ethics of Keeping Pets|
|The Nicomachean Ethics|
Meditations
|Beyond Good and Evil|
