|A Light in the Attic|
|The Black Maria|
|Shakespeare's Sonnets|
Olio
|You can't bury them all: Poems|
|Slow States of Collapse: Poems|
|Untitled Collection: Sabbath Poems 2014|
|Poems That Make Grown Women Cry|
|Night Sky with Exit Wounds|
salt.
|Quarter Life Poetry: Poems for the Young, Broke and Hangry|
|Out of Print: City Lights Spotlight No. 14|
|Les Fleurs du Mal|
|Howl and Other Poems|
|Leave This Song Behind: Teen Poetry at Its Best|
|The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)|
|The Crossover|
Booked
|Twenty Love Poems and a Song of Despair|
